id,order,score2,weight,color,label,raw_probability,score,probability
1,1.1,59,1,#9E0041,CONSISTENT,0.148333333,89,14.83333333
2,1.3,24,0.5,#C32F4B,RHODE ASSASSIN,0.046666667,28,4.666666667
3,2,98,0.5,#E1514B,ATOMIC BLAST,0.06,36,6
4,3,60,0.5,#F47245,DIAMOND FRIENDS,0.043333333,26,4.333333333
5,4,74,1,#FB9F59,HAPPY BEAUTY,0.078333333,47,7.833333333
6,5,70,0.5,#FEC574,EQUITY DOCTRINE,0.043333333,26,4.333333333
7,6,42,0.5,#FAE38C,GENTLEMEN,0.06,36,6
8,7.1,77,1,#EAF195,HOLY UNICORN,0.118333333,71,11.83333333
9,7.3,88,0.5,#C7E89E,INVISIBLE,0.055,33,5.5
10,8.1,60,1,#9CD6A4,CHEERFUL FRAME,0.066666667,40,6.666666667
11,8.3,65,0.5,#6CC4A4,HAPPY FRIENDSHIP,0.056666667,34,5.666666667
12,9,71,0.5,#4D9DB4,DRAGON BACHELOR,0.06,36,6
13,100,88,0.5,#4776B4,EMPIRE OF MONGOLIA,0.066666667,40,6.666666667
14,1,88,0.5,#5E4EA1,KING OF SMARTS,0.046666667,28,4.666666667
