x,y,value
T004,O Doleuze,0
T004,N Rawiller,0
T004,O Bosson,0
T004,H N Wong,0
T004,M Chadwick,0
T004,T H So,0
T004,Z Purton,0
T004,K C Ng,0
T004,S Clipperton,0
T004,K K Chiong,0
T004,K C Leung,0
T004,N Callan,0
T004,K Teetan,0
T004,H T Mo,0
T004,B Prebble,0
T004,J Moreira,0
T004,D Whyte,0
T004,M L Yeung,0
T004,C Y Ho,0
T004,H W Lai,0
T004,Y T Cheng,0
T004,C Schofield,0
T004,S de Sousa,0
T004,U Rispoli,0
T004,C Williams,0
T004,L Corrales,0
T004,O Murphy,0
T004,G Mosse,0
T004,T Berry,0
T004,H Bowman,0
T004,C Soumillon,0
T004,D Lane,0
T004,M Barzalona,0
T004,F Geroux,0
T004,P Smullen,0
T004,G Lerena,0
T004,M Demuro,0
T004,R Moore,0
T004,K Tosaki,0
T004,N Juglall,0
T004,T Clark,0
T004,A Badel,0
T004,M Guyon,0
T004,Y Iwata,0
T004,Y Take,0
T004,R Myers,0
T004,S Pasquier,0
T004,B Vorster,0
T004,B Melham,0
T004,G Lee,0
T004,Y Kawada,0
T004,D O'Brien,0
T004,P-C Boudot,0
T004,G Schofield,0
T004,H Lam,0
T004,M Wepner,0
T004,C Perkins,0
T004,R Curatolo,0
T004,W L Ho,0
T004,M F Poon,0
T004,W M Lai,0
T004,O Peslier,0
T004,C Murray,0
T004,A Sanna,0
V032,O Doleuze,0
V032,N Rawiller,0
V032,O Bosson,0
V032,H N Wong,0
V032,M Chadwick,0
V032,T H So,0
V032,Z Purton,0
V032,K C Ng,0
V032,S Clipperton,0
V032,K K Chiong,0
V032,K C Leung,0
V032,N Callan,0
V032,K Teetan,0
V032,H T Mo,0
V032,B Prebble,0
V032,J Moreira,0
V032,D Whyte,0
V032,M L Yeung,0
V032,C Y Ho,0
V032,H W Lai,0
V032,Y T Cheng,0
V032,C Schofield,0
V032,S de Sousa,0
V032,U Rispoli,0
V032,C Williams,0
V032,L Corrales,0
V032,O Murphy,0
V032,G Mosse,0
V032,T Berry,0
V032,H Bowman,0
V032,C Soumillon,0
V032,D Lane,0
V032,M Barzalona,0
V032,F Geroux,0
V032,P Smullen,0
V032,G Lerena,0
V032,M Demuro,0
V032,R Moore,0
V032,K Tosaki,0
V032,N Juglall,0
V032,T Clark,0
V032,A Badel,0
V032,M Guyon,0
V032,Y Iwata,0
V032,Y Take,0
V032,R Myers,0
V032,S Pasquier,0
V032,B Vorster,0
V032,B Melham,0
V032,G Lee,0
V032,Y Kawada,0
V032,D O'Brien,0
V032,P-C Boudot,0
V032,G Schofield,0
V032,H Lam,0
V032,M Wepner,0
V032,C Perkins,0
V032,R Curatolo,0
V032,W L Ho,0
V032,M F Poon,0
V032,W M Lai,0
V032,O Peslier,0
V032,C Murray,0
V032,A Sanna,0
T123,O Doleuze,0
T123,N Rawiller,0
T123,O Bosson,0
T123,H N Wong,0
T123,M Chadwick,0
T123,T H So,0
T123,Z Purton,0
T123,K C Ng,0
T123,S Clipperton,0
T123,K K Chiong,0
T123,K C Leung,0
T123,N Callan,0
T123,K Teetan,0
T123,H T Mo,0
T123,B Prebble,0
T123,J Moreira,0
T123,D Whyte,0
T123,M L Yeung,0
T123,C Y Ho,0
T123,H W Lai,0
T123,Y T Cheng,0
T123,C Schofield,0
T123,S de Sousa,0
T123,U Rispoli,0
T123,C Williams,0
T123,L Corrales,0
T123,O Murphy,0
T123,G Mosse,0
T123,T Berry,0
T123,H Bowman,0
T123,C Soumillon,0
T123,D Lane,0
T123,M Barzalona,0
T123,F Geroux,0
T123,P Smullen,0
T123,G Lerena,0
T123,M Demuro,0
T123,R Moore,0
T123,K Tosaki,0
T123,N Juglall,0
T123,T Clark,0
T123,A Badel,0
T123,M Guyon,0
T123,Y Iwata,0
T123,Y Take,0
T123,R Myers,0
T123,S Pasquier,0
T123,B Vorster,0
T123,B Melham,0
T123,G Lee,0
T123,Y Kawada,0
T123,D O'Brien,0
T123,P-C Boudot,0
T123,G Schofield,0
T123,H Lam,0
T123,M Wepner,0
T123,C Perkins,0
T123,R Curatolo,0
T123,W L Ho,0
T123,M F Poon,0
T123,W M Lai,0
T123,O Peslier,0
T123,C Murray,0
T123,A Sanna,0
T079,O Doleuze,0
T079,N Rawiller,0
T079,O Bosson,0
T079,H N Wong,0
T079,M Chadwick,0
T079,T H So,0
T079,Z Purton,0
T079,K C Ng,0
T079,S Clipperton,0
T079,K K Chiong,0.5
T079,K C Leung,0
T079,N Callan,0
T079,K Teetan,0
T079,H T Mo,0
T079,B Prebble,0
T079,J Moreira,0
T079,D Whyte,0
T079,M L Yeung,0
T079,C Y Ho,0
T079,H W Lai,0
T079,Y T Cheng,0
T079,C Schofield,0
T079,S de Sousa,0
T079,U Rispoli,0
T079,C Williams,0
T079,L Corrales,0
T079,O Murphy,0
T079,G Mosse,0
T079,T Berry,0
T079,H Bowman,0
T079,C Soumillon,0
T079,D Lane,0
T079,M Barzalona,0
T079,F Geroux,0
T079,P Smullen,0
T079,G Lerena,0
T079,M Demuro,0
T079,R Moore,0
T079,K Tosaki,0
T079,N Juglall,0
T079,T Clark,0
T079,A Badel,0
T079,M Guyon,0
T079,Y Iwata,0
T079,Y Take,0
T079,R Myers,0
T079,S Pasquier,0
T079,B Vorster,0
T079,B Melham,0
T079,G Lee,0
T079,Y Kawada,0
T079,D O'Brien,0
T079,P-C Boudot,0
T079,G Schofield,0
T079,H Lam,0
T079,M Wepner,0
T079,C Perkins,0
T079,R Curatolo,0
T079,W L Ho,0
T079,M F Poon,0
T079,W M Lai,0
T079,O Peslier,0
T079,C Murray,0
T079,A Sanna,0
L247,O Doleuze,0
L247,N Rawiller,0
L247,O Bosson,0
L247,H N Wong,0
L247,M Chadwick,0.166666667
L247,T H So,0
L247,Z Purton,0
L247,K C Ng,0
L247,S Clipperton,0
L247,K K Chiong,0
L247,K C Leung,0
L247,N Callan,0
L247,K Teetan,0
L247,H T Mo,0
L247,B Prebble,0
L247,J Moreira,0
L247,D Whyte,0
L247,M L Yeung,0
L247,C Y Ho,0
L247,H W Lai,0
L247,Y T Cheng,0
L247,C Schofield,0
L247,S de Sousa,0
L247,U Rispoli,0
L247,C Williams,0
L247,L Corrales,0
L247,O Murphy,0
